"","CCT2","CCT5","CCT6A","CCT7","CCT8","pink","Parkin","Atg1","Atg8","FOXO3","SIRT1","PARP1","PARP2","NADSYN","MRPS5","UBL5","SOD3","TERT","TERC","RTEL1","age"
"1",1.26390560585086,1.10480449840347,1.12493946522186,1.12355525562911,1.09099795192144,1.07845876592981,1.61346424109606,1.22676302035315,1.40034045593229,1.18637200238385,1.40791655277404,1.29893321050901,1.38325287965402,1.27078069548498,1.28315704417941,1.18815674488158,1.25735392465186,1.00130377493231,1.10582700564394,1.10260619004396,59
"2",1.25660339910465,1.1082488486662,1.12763476865467,1.11632495056659,1.09355121977111,1.08443154215914,1.64041062820336,1.22911856387054,1.42314679786658,1.18696867303562,1.34520996206963,1.24304134755597,1.32293531048059,1.19169923756854,1.27884907002254,1.14038287492283,1.262547381832,0.998995284987124,1.11563593982282,1.12462200051617,46
"3",1.25737871723602,1.11584430421642,1.13755192821567,1.126006318259,1.09210166419734,1.09241608188806,1.67896003461258,1.23502910088899,1.43076855108777,1.22610484200896,1.28767056716218,1.22456546168824,1.33156553608471,1.18779882311634,1.28173212558817,1.15713053261634,1.26835381600117,1.00140715013087,1.12019762115974,1.11755386781409,60
"4",1.25780736671741,1.1143085568812,1.14806811953427,1.12644050455409,1.09115126865292,1.09108306438934,1.6480696921669,1.22172786376149,1.44904124481686,1.23359927470296,1.51917277816403,1.29056303287806,1.38473887186512,1.33835429409732,1.28545186156796,1.17385270226174,1.25840287545489,0.993092388170441,1.11595067587488,1.11664071814455,62
"5",1.24008675544391,1.09591216135453,1.12255523119325,1.1150981603804,1.08138780051301,1.0822694123893,1.5991393809772,1.18925633002594,1.38832966151765,1.2156298519583,1.39866066922687,1.26612006384954,1.32802437165203,1.23135596025289,1.24663301596472,1.12935789754513,1.24043241830268,0.982944859082047,1.10565759396872,1.10554659828009,62
"6",1.28261288490894,1.16098883943971,1.19766882340516,1.1943417587568,1.1327762762744,1.30337484504582,1.74904347069994,1.53477690870354,1.6099034772823,1.3169452567125,1.33006130499458,1.211501169436,1.33492886811555,1.13694359567876,1.3836375764035,1.13842281935602,1.51618919024155,1.56391046619789,1.32691549748501,1.34881857678967,59
"7",1.23976953084754,1.14749707608227,1.16754204854323,1.14091304714721,1.10045662820796,1.17585683499495,1.72886056442718,1.4210487536922,1.529774481469,1.22346667376026,1.25607633034874,1.1410381285038,1.29848433213271,1.10945546641162,1.31028596706384,1.12196893232426,1.37022615714245,1.42273278480792,1.21177410667275,1.2204418288931,46
"8",1.23261333268578,1.14610014624039,1.18384680681006,1.17127549734794,1.10250893866565,1.29533218634715,1.70897843944332,1.49494110915223,1.57507163047769,1.31294632069076,1.24251782648373,1.13439019253118,1.28596743350008,1.13338197626449,1.31841896703947,1.10629912025153,1.48892896201599,1.53576799506126,1.28663804471926,1.32192922406776,60
"9",1.22368790791447,1.16368818599615,1.18015419864061,1.22977317672895,1.10030499828887,1.14460838015587,1.63315015749316,1.36291850191983,1.48014709033138,1.1702362932613,1.32536686835695,1.22399394153285,1.30174851615283,1.18622053865794,1.34592440076472,1.14918741475017,1.3189202098323,1.38739342165958,1.17773706993121,1.19424148329712,62
"10",1.24660221787122,0.747553964795666,1.15292198703096,1.16837473974641,1.09167474260041,1.13412580280645,1.68789307871024,1.35168464644209,1.48567515049347,1.17863218876692,1.2791459709949,1.20661401603765,1.29379605864893,1.11699076321017,1.32025569767552,1.11679539739665,1.31028383369802,1.36524012036261,1.16247055867234,1.16741277863449,62
"11",1.28024545747897,1.14465695164529,1.19428632005454,1.19283455099913,1.12068075083923,1.2538373872094,1.72639665910993,1.48197667135741,1.53925142845738,1.26036061474324,1.33023403400216,1.19712524090617,1.35100518816463,1.13897017192649,1.36796855529299,1.1143633751399,1.43875381454555,1.49141782410329,1.26680241973845,1.29698200468976,59
"12",1.26170304095639,1.08789637716186,1.14789826319764,1.20363486557781,1.10065176044059,1.15568862036569,1.62877410826068,1.350221189684,1.42169159844065,1.1596913224453,1.30666237093137,1.20410155060014,1.36347511908402,1.16395703327029,1.30337291951154,1.11257668040897,1.3234332803361,1.36561016876362,1.1499415207647,1.20119699493594,46
"13",1.24686540103994,1.11881995580411,1.17574806576834,1.17306535512574,1.09389084726912,1.20420782696935,1.73854344663474,1.42184369081536,1.50715675246808,1.21441578865506,1.26345110124587,1.13034004746687,1.28755969395919,1.13055077820224,1.30484713392508,1.1040436542237,1.38217589694285,1.43849697336651,1.21392438614484,1.24718199589633,60
"14",1.23326037326203,1.13351747889506,1.16802353507183,1.1398701007517,1.12760369713929,1.21283931904758,1.77495073551764,1.43765925266849,1.49521486049259,1.24508581970453,1.32712977356856,1.12537249361412,1.30255805956944,1.12185358267788,1.34688096960033,1.11536862196618,1.40331327409925,1.48252498998241,1.26101316931667,1.25709972615392,62
"15",1.22437920911858,1.10828244698553,1.15524663438581,1.14185769608318,1.06432511715258,1.22103416711239,1.66185655738922,1.42422017541853,1.52124060939832,1.2306992013982,1.24336884935081,1.13391260605236,1.27895006898226,1.10274226590082,1.30535027794061,1.08707088890354,1.39507460014819,1.48147663818795,1.25607940830928,1.26015414299602,62
